gene	recessive	dominant	adult_onset
SERPINA6	1	1	0
CRHBP	0	0	0
CRH	1	1	0
CRHR1	0	0	0
CYP2A6	1	1	0
MSX2	0	1	0
CRP	0	0	0
CKBE	0	1	0
CKB	0	0	0
CKMT1B	0	0	0
CKMT2	0	0	0
CKM	0	0	0
CRYAA	1	1	0
CRYAB	1	1	1
CRYBA1	0	1	0
CRYBB2	0	1	0
CRYBB3	1	1	0
CRYBA4	0	1	0
CRYGA	0	1	0
CRYGB	0	1	0
CRYGC	0	1	0
CRYGD	1	1	0
CRYZ	0	0	0
PCYT1A	1	0	0
CRYGS	0	1	0
CRYM	0	1	0
ATF1	0	0	0
PDE3A	0	1	0
CREB1	0	1	0
ATF2	1	0	0
CREM	0	1	0
CNGA1	1	1	0
CDK3	0	0	0
CDK4	0	1	0
CNP	0	0	0
CDK5	1	1	0
CDKN3	0	0	0
CCND2	0	1	0
CCND3	0	0	0
CCNA2	0	0	0
CCNB1	0	0	0
CCNE1	0	0	0
CCNC	0	1	0
PPIA	0	0	0
PPIB	1	0	0
PPIC	0	0	0
CST1	0	0	0
CST2	0	0	0
CST4	0	0	0
CST5	0	0	0
CARS	0	0	0
CTPS1	1	0	0
COX4I1	0	0	0
COX5B	0	0	0
COX8A	1	0	0
CRIP1	0	0	0
CSRP1	0	0	0
S100A8	0	1	0
S100A9	0	1	0
IL10RB	1	0	1
CTLA4	1	1	0
EZR	0	1	0
GZMB	0	0	0
CDA	0	0	0
CYP2B6	0	0	0
KRT4	0	1	0
CYCS	0	1	0
CYC1	1	0	0
COX7A1	0	0	0
COX7A2	0	0	0
COX7A2P2	0	0	0
CYP3A4	0	0	0
POR	1	0	0
CYP2C19	1	0	0
CYP2D6	1	1	0
CYP2E1	0	0	0
DAO	1	1	1
CYP1A2	0	1	0
CYP2F1	0	0	0
CYP4B1	0	0	0
CYP11B2	1	0	0
COX6B1	1	0	0
COX6C	0	0	0
IL10	1	1	0
CSK	0	0	0
DBP	0	0	0
DDO	0	0	0
DEFA1	0	0	0
CD55	0	1	0
DCN	0	1	0
VDI	0	1	0
SULT2A1	0	0	0
DEK	0	1	0
REEP5	0	0	0
ALAD	1	1	0
ALAS1	0	0	0
DMTN	0	0	0
DCK	0	0	0
MAFD1	1	1	0
DSPP	0	1	0
DNASE1	1	1	0
DPT	0	0	0
DSC1	0	0	0
DSC2	1	1	0
DSP	1	1	0
DES	1	1	1
DSG1	1	1	0
DSG2	1	1	0
DGKA	0	0	0
NQO1	0	0	0
DBI	0	0	0
DHFR	1	0	0
DLST	0	0	0
DHODH	1	1	0
CYP24A1	1	1	0
PCBD1	1	0	0
ARNT	0	0	0
DPP6	0	1	0
HBEGF	0	0	0
DLX2	0	0	0
GADD45A	0	1	0
DDIT3	0	1	0
ERCC2	1	1	0
DNASE2	1	0	0
DNMT1	1	1	1
ERCC1	1	0	0
LIG1	0	0	0
TOP1	0	0	0
TOP2A	0	0	0
TOP2B	0	0	0
DRD1	0	0	0
DRD2	0	1	0
DRD3	1	1	0
DRD4	0	1	0
DRD5	0	1	0
SLC6A3	1	0	0
SLC26A3	1	0	0
DBN1	0	0	0
DURS1	0	1	0
DAG1	1	0	0
UTRN	0	0	0
SNRPE	0	1	0
EGR1	0	0	0
EGR4	0	0	0
EGR2	1	1	0
E11S	0	1	0
NT5E	1	0	1
EEC1	0	1	0
CELA1	0	0	0
ELANE	1	1	0
SERPINB1	0	0	0
ELN	1	1	0
EEGV1	0	1	0
ETFB	1	0	0
EPB41	0	1	0
EEF1A1	0	0	0
EEF1D	0	0	0
EEF1G	0	0	0
EEF2	0	1	0
RPS14	1	0	0
EMILIN1	0	1	0
ERV3-1	0	0	0
ENG	0	1	0
SELE	1	1	0
FGF1	0	0	0
TYMP	1	1	0
ANXA5	0	1	0
KDELR1	0	0	0
EDN1	1	1	0
EDN2	0	0	0
EDN3	1	1	0
EDNRA	1	1	0
EDNRB	1	1	0
EN1	0	1	0
EN2	0	0	0
GATA3	1	1	0
PENK	0	0	0
PDYN	0	1	1
ENO2	0	0	0
ENO3	1	0	1
ENO4	0	0	0
NID1	0	1	0
RNASE3	0	0	0
EPX	1	0	0
RNASE2	0	0	0
EGF	1	0	0
EGFR	1	1	0
FLOT2	0	0	0
STX2	0	0	0
EPHX1	1	1	0
EPHX2	0	1	0
EBVS1	0	0	0
NR2F6	0	0	0
NR2F1	0	1	0
STOM	0	0	0
EPO	0	1	0
EPOR	0	1	0
ESA4	0	0	0
ESD	0	0	0
ESB3	0	0	0
ESR1	1	1	0
RUNX1T1	0	0	0
EIF4E	0	0	0
EWSR1	0	0	0
ERCC3	1	0	0
ERCC4	1	0	0
ERCC5	1	0	0
ERCM1	0	0	0
SLC1A1	1	1	0
CFD	1	0	0
CFH	1	1	1
CFHR1	1	1	0
F3	0	0	0
F13A1	1	1	0
F13B	1	0	0
FDPS	0	0	0
FNTA	0	0	0
FNTB	0	0	0
FAS	1	1	0
FASLG	1	1	0
FABP2	0	0	0
FABP1	0	0	0
FABP3	0	0	0
GSTP1	0	0	0
FAU	0	0	0
FTH1	0	1	0
FTL	1	1	1
FBL	0	0	0
FBN1	1	1	0
FGA	1	1	0
FGB	1	1	0
FGG	1	1	0
FGF2	0	0	0
FGF6	0	0	0
FGFR3	1	1	0
FGFR4	0	0	0
FN1	0	1	0
ITGA5	0	0	0
ITGB1	0	0	0
FBLN1	1	1	0
FBLN2	0	0	0
FLG	1	1	0
FMO1	0	0	0
FMO4	0	0	0
FMO3	1	0	0
FGFR1	1	1	0
FLT3	0	1	0
FLT4	1	1	0
FOLR2	0	0	0
FOLR1	1	0	0
